"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 12 19:48:22 CST 2022","Thu May 12 19:48:35 CST 2022","13116","Case.Module_1","test_1","TestCase","","","test_login",""
"broken","Thu May 12 19:48:35 CST 2022","Thu May 12 19:48:41 CST 2022","5567","Case.Module_1","test_1","TestCase","","","test_login_close",""
